"category","category_name","county","county_name","description","fy2026","fy2027","Change_Amt","Change_Pct" 
"1","Education                ","1","Allegany                                ","Foundation Aid                                    ","50,698,086","52,317,933","1,619,847","3.2" 
"1","Education                ","1","Allegany                                ","Compensatory Aid                                  ","28,669,730","27,933,827","-735,903","-2.6" 
"1","Education                ","1","Allegany                                ","Student Transportation - Regular                  ","5,982,362","6,042,186","59,824","1.0" 
"1","Education                ","1","Allegany                                ","Student Transportation - Special Education        ","268,000","286,000","18,000","6.7" 
"1","Education                ","1","Allegany                                ","Special Education - Formula                       ","11,350,198","13,344,342","1,994,144","17.6" 
"1","Education                ","1","Allegany                                ","Special Education - Nonpublic Placements          ","1,395,477","1,190,827","-204,650","-14.7" 
"1","Education                ","1","Allegany                                ","English Language Learners Grant                   ","345,162","362,146","16,984","4.9" 
"1","Education                ","1","Allegany                                ","Teacher Development Grants                        ","4,000","4,000","0","0.0" 
"1","Education                ","1","Allegany                                ","Food Service                                      ","95,714","86,283","-9,431","-9.9" 
"1","Education                ","1","Allegany                                ","Innovative Programs                               ","70,426","70,426","0","0.0" 
"1","Education                ","1","Allegany                                ","Retirement - Teachers                             ","8,297,356","8,631,240","333,884","4.0" 
"1","Education                ","1","Allegany                                ","Judy Hoyer Centers                                ","791,750","919,492","127,742","16.1" 
"1","Education                ","1","Allegany                                ","Guaranteed Tax Base                               ","5,527,061","5,281,539","-245,522","-4.4" 
"1","Education                ","1","Allegany                                ","Blueprint - Concentration of Poverty              ","7,055,103","7,912,163","857,060","12.1" 
"1","Education                ","1","Allegany                                ","Blueprint - Transitional Instruction              ","293,705","0","-293,705","-100.0" 
"1","Education                ","1","Allegany                                ","Blueprint - Transition Grants                     ","6,726","5,174","-1,552","-23.1" 
"1","Education                ","1","Allegany                                ","Blueprint - Full Day PreKindergarten              ","3,154,866","4,599,076","1,444,210","45.8" 
"1","Education                ","1","Allegany                                ","Blueprint - College and Career Readiness          ","468,254","478,530","10,276","2.2" 
"1","Education                ","1","Allegany                                ","Blueprint - Career Ladder                         ","410,115","579,053","168,938","41.2" 
"1","Education                ","1","Allegany                                ","Blueprint - Coordinators                          ","107,375","107,407","32","0.0" 
"2","Libraries                ","1","Allegany                                ","Library Formula                                   ","912,779","917,367","4,588","0.5" 
"2","Libraries                ","1","Allegany                                ","Retirement - Libraries                            ","226,822","212,187","-14,635","-6.5" 
"3","Community Colleges       ","1","Allegany                                ","Community College Formula                         ","9,123,724","9,397,435","273,711","3.0" 
"3","Community Colleges       ","1","Allegany                                ","Optional Retirement                               ","388,003","364,630","-23,373","-6.0" 
"3","Community Colleges       ","1","Allegany                                ","Small College Grants                              ","1,965,384","2,015,954","50,570","2.6" 
"3","Community Colleges       ","1","Allegany                                ","Retirement - Community College                    ","2,018,706","2,038,737","20,031","1.0" 
"4","Health                   ","1","Allegany                                ","Local Health Formula                              ","5,257,545","4,659,494","-598,051","-11.4" 
"5","Transportation           ","1","Allegany                                ","Highway User Revenue                              ","4,982,670","4,985,076","2,406","0.0" 
"5","Transportation           ","1","Allegany                                ","Elderly & Disabled Transportation Grants          ","152,269","156,076","3,807","2.5" 
"6","Public Safety            ","1","Allegany                                ","Police Aid                                        ","806,301","809,913","3,612","0.4" 
"6","Public Safety            ","1","Allegany                                ","Fire and Rescue Aid                               ","417,179","417,179","0","0.0" 
"6","Public Safety            ","1","Allegany                                ","Police Aid Enhancement                            ","303,611","263,905","-39,706","-13.1" 
"8","Shared Taxes             ","1","Allegany                                ","Payment in Lieu of Taxes (PILOTS)                 ","993,303","1,001,850","8,547","0.9" 
"8","Shared Taxes             ","1","Allegany                                ","Gaming Impact Grants                              ","3,113,635","3,113,635","0","0.0" 
"9","Other                    ","1","Allegany                                ","Disparity Grant                                   ","7,298,505","13,611,973","6,313,468","86.5" 
"9","Other                    ","1","Allegany                                ","Teachers Retirement Supplemental Grants           ","816,053","0","-816,053","-100.0" 
"1","Education                ","2","Anne Arundel                            ","Foundation Aid                                    ","313,248,875","325,774,208","12,525,333","4.0" 
"1","Education                ","2","Anne Arundel                            ","Comparable Wage Index                             ","16,047,740","16,334,319","286,579","1.8" 
"1","Education                ","2","Anne Arundel                            ","Compensatory Aid                                  ","107,491,862","103,939,986","-3,551,876","-3.3" 
"1","Education                ","2","Anne Arundel                            ","Student Transportation - Regular                  ","31,611,617","31,927,733","316,116","1.0" 
"1","Education                ","2","Anne Arundel                            ","Student Transportation - Special Education        ","2,062,000","2,067,000","5,000","0.2" 
"1","Education                ","2","Anne Arundel                            ","Special Education - Formula                       ","42,048,874","48,334,960","6,286,086","14.9" 
"1","Education                ","2","Anne Arundel                            ","Special Education - Nonpublic Placements          ","11,586,353","9,887,190","-1,699,163","-14.7" 
"1","Education                ","2","Anne Arundel                            ","Special Education - High Acuity Students          ","0","1,000,000","1,000,000","0.0" 
"1","Education                ","2","Anne Arundel                            ","English Language Learners Grant                   ","33,276,587","32,856,410","-420,177","-1.3" 
"1","Education                ","2","Anne Arundel                            ","Teacher Development Grants                        ","4,000","4,000","0","0.0" 
"1","Education                ","2","Anne Arundel                            ","Food Service                                      ","2,282,139","2,057,261","-224,878","-9.9" 
"1","Education                ","2","Anne Arundel                            ","Innovative Programs                               ","25,885","25,885","0","0.0" 
"1","Education                ","2","Anne Arundel                            ","Out-of-County Placements                          ","135,756","135,756","0","0.0" 
"1","Education                ","2","Anne Arundel                            ","Retirement - Teachers                             ","85,958,985","90,609,020","4,650,035","5.4" 
"1","Education                ","2","Anne Arundel                            ","Judy Hoyer Centers                                ","791,750","919,492","127,742","16.1" 
"1","Education                ","2","Anne Arundel                            ","Blueprint - Concentration of Poverty              ","17,599,487","19,368,958","1,769,471","10.1" 
"1","Education                ","2","Anne Arundel                            ","Blueprint - Transitional Instruction              ","1,626,401","0","-1,626,401","-100.0" 
"1","Education                ","2","Anne Arundel                            ","Blueprint - Full Day PreKindergarten              ","12,212,422","14,357,961","2,145,539","17.6" 
"1","Education                ","2","Anne Arundel                            ","Blueprint - College and Career Readiness          ","2,286,589","2,621,115","334,526","14.6" 
"1","Education                ","2","Anne Arundel                            ","Blueprint - Career Ladder                         ","2,517,414","3,361,904","844,490","33.5" 
"1","Education                ","2","Anne Arundel                            ","Blueprint - Coordinators                          ","61,926","62,351","425","0.7" 
"2","Libraries                ","2","Anne Arundel                            ","Library Formula                                   ","3,234,089","3,359,027","124,938","3.9" 
"2","Libraries                ","2","Anne Arundel                            ","Retirement - Libraries                            ","2,671,534","2,838,836","167,302","6.3" 
"3","Community Colleges       ","2","Anne Arundel                            ","Community College Formula                         ","43,359,724","44,660,516","1,300,792","3.0" 
"3","Community Colleges       ","2","Anne Arundel                            ","Grants for ESOL Programs                          ","282,672","296,032","13,360","4.7" 
"3","Community Colleges       ","2","Anne Arundel                            ","Optional Retirement                               ","2,155,348","2,157,552","2,204","0.1" 
"3","Community Colleges       ","2","Anne Arundel                            ","Retirement - Community College                    ","6,559,784","7,012,989","453,205","6.9" 
"4","Health                   ","2","Anne Arundel                            ","Local Health Formula                              ","9,454,801","9,613,817","159,016","1.7" 
"5","Transportation           ","2","Anne Arundel                            ","Highway User Revenue                              ","14,608,852","14,615,905","7,053","0.0" 
"5","Transportation           ","2","Anne Arundel                            ","Elderly & Disabled Transportation Grants          ","264,272","270,879","6,607","2.5" 
"5","Transportation           ","2","Anne Arundel                            ","Paratransit Grants                                ","117,351","117,351","0","0.0" 
"6","Public Safety            ","2","Anne Arundel                            ","Police Aid                                        ","9,097,999","9,208,662","110,663","1.2" 
"6","Public Safety            ","2","Anne Arundel                            ","Fire and Rescue Aid                               ","1,365,880","1,365,880","0","0.0" 
"6","Public Safety            ","2","Anne Arundel                            ","Vehicle Theft Prevention                          ","72,883","71,533","-1,350","-1.9" 
"6","Public Safety            ","2","Anne Arundel                            ","Police Aid Enhancement                            ","3,149,353","2,737,477","-411,876","-13.1" 
"8","Shared Taxes             ","2","Anne Arundel                            ","Payment in Lieu of Taxes (PILOTS)                 ","75,000","75,000","0","0.0" 
"8","Shared Taxes             ","2","Anne Arundel                            ","Gaming Impact Grants                              ","28,604,816","28,653,871","49,055","0.2" 
"9","Other                    ","2","Anne Arundel                            ","Other Direct Aid                                  ","50,000","0","-50,000","-100.0" 
"1","Education                ","3","Baltimore City                          ","Foundation Aid                                    ","444,499,731","463,105,525","18,605,794","4.2" 
"1","Education                ","3","Baltimore City                          ","Comparable Wage Index                             ","13,788,381","14,059,884","271,503","2.0" 
"1","Education                ","3","Baltimore City                          ","Compensatory Aid                                  ","337,160,964","330,128,457","-7,032,507","-2.1" 
"1","Education                ","3","Baltimore City                          ","Student Transportation - Regular                  ","23,208,008","23,448,959","240,951","1.0" 
"1","Education                ","3","Baltimore City                          ","Student Transportation - Special Education        ","2,984,000","3,289,000","305,000","10.2" 
"1","Education                ","3","Baltimore City                          ","Special Education - Formula                       ","79,753,115","93,977,223","14,224,108","17.8" 
"1","Education                ","3","Baltimore City                          ","Special Education - Nonpublic Placements          ","8,415,370","7,181,238","-1,234,132","-14.7" 
"1","Education                ","3","Baltimore City                          ","English Language Learners Grant                   ","70,787,810","69,500,484","-1,287,326","-1.8" 
"1","Education                ","3","Baltimore City                          ","Teacher Development Grants                        ","4,000","4,000","0","0.0" 
"1","Education                ","3","Baltimore City                          ","Food Service                                      ","650,143","586,079","-64,064","-9.9" 
"1","Education                ","3","Baltimore City                          ","Innovative Programs                               ","355,886","355,886","0","0.0" 
"1","Education                ","3","Baltimore City                          ","Out-of-County Placements                          ","725","725","0","0.0" 
"1","Education                ","3","Baltimore City                          ","Retirement - Teachers                             ","81,908,741","88,077,657","6,168,916","7.5" 
"1","Education                ","3","Baltimore City                          ","Judy Hoyer Centers                                ","5,542,251","6,436,444","894,193","16.1" 
